States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Ebonyi,<1000 ,<500 , 1300,<1000 ,<500 , 1600,1100 ,<1000 , 2000,1300 ,<1000 , 2300,1500 ,<1000 , 2700,1400 ,<1000 , 2800,1400 ,<1000 , 2500,1200 ,<1000 , 2000,1100 ,<1000 , 1700,1000 ,<1000 , 1600,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Edo,<500 ,<200 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1600,1000 ,<1000 , 1800,1200 ,<1000 , 2000,1300 ,<1000 , 2200,1400 ,<1000 , 2200,1400 ,<1000 , 2200,1500 ,<1000 , 2300,1400 ,<1000 , 2200,1500 ,<1000 , 2300,1500 ,<1000 , 2300,1400 ,<1000 , 2200,1400 ,<1000 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 1900,1200 ,<1000 , 1800,1300 ,<1000 , 1800,1300 ,<1000 , 1800,1300 ,<1000 , 1800,1300 ,<1000 , 1900,1300 ,<1000 , 1800,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1400 ,1000 , 2000,1500 ,1100 , 2000,1500 ,1100 , 2100,1500 ,1100 , 2200
Ekiti,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Enugu,1800 ,1100 , 3600,2000 ,1200 , 3800,2000 ,1100 , 3500,2300 ,1300 , 3700,2200 ,1300 , 3500,2100 ,1300 , 3400,2100 ,1300 , 3400,2000 ,1300 , 3200,2000 ,1300 , 3100,2000 ,1300 , 3000,2000 ,1300 , 2900,1900 ,1300 , 2700,1900 ,1300 , 2700,1900 ,1300 , 2700,1800 ,1300 , 2500,1800 ,1300 , 2500,1800 ,1300 , 2500,1700 ,1200 , 2400,1600 ,1200 , 2200,1600 ,1200 , 2200,1700 ,1300 , 2300,1700 ,1300 , 2200,1700 ,1300 , 2300,1500 ,1000 , 2000,1400 ,<1000 , 2000,1400 ,<1000 , 2000,1400 ,<1000 , 2100,1500 ,<1000 , 2300,1600 ,<1000 , 2500,1600 ,<1000 , 2600
FCT, Abuja,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000
Gombe,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Imo,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 2000,<1000 ,<1000 , 1900,<1000 ,<1000 , 1900,1000 ,<1000 , 1900,1100 ,<1000 , 1900,1000 ,<1000 , 1800,1100 ,<1000 , 1900,1100 ,<1000 , 1800,1200 ,<1000 , 1800,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1400 ,1000 , 2000,1500 ,1100 , 2000,1500 ,1100 , 2100,1600 ,1200 , 2200,1700 ,1300 , 2300,1800 ,1200 , 2500,1700 ,1100 , 2300,1700 ,1000 , 2400,1800 ,1000 , 2500,2000 ,1100 , 2800,2100 ,1100 , 3200,2300 ,1200 , 3500
Jigawa,<1000 ,<500 , 1700,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<500 ,<500 , 1100,<500 ,<500 , 1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Kaduna,<1000 ,<500 , 1500,1100 ,<1000 , 2000,1600 ,<1000 , 2700,2100 ,1100 , 3300,2800 ,1600 , 4900,3100 ,1800 , 5800,3300 ,2000 , 6100,3300 ,2000 , 5500,3200 ,2100 , 5300,2900 ,2000 , 4800,2800 ,1900 , 4400,2600 ,1900 , 3900,2500 ,1800 , 3600,2400 ,1800 , 3600,2400 ,1700 , 3300,2500 ,1800 , 3500,2400 ,1700 , 3400,2300 ,1600 , 3300,2300 ,1500 , 3200,2100 ,1400 , 3100,1900 ,1300 , 2900,1700 ,1100 , 2500,1500 ,<1000 , 2300,1100 ,<1000 , 1800,1100 ,<1000 , 1800,<1000 ,<1000 , 1800,<1000 ,<500 , 1700,1000 ,<1000 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1700
Kano,1400 ,<500 , 3600,1700 ,<1000 , 4000,2000 ,<1000 , 4600,2300 ,1100 , 4800,2700 ,1400 , 5700,2700 ,1400 , 5800,2600 ,1300 , 5200,2600 ,1400 , 5100,2400 ,1300 , 4500,2200 ,1200 , 4200,2100 ,1200 , 3900,2000 ,1100 , 3600,1700 ,<1000 , 3100,1700 ,<1000 , 3200,1600 ,<1000 , 2900,1400 ,<1000 , 2500,1400 ,<1000 , 2500,1300 ,<1000 , 2300,1300 ,<1000 , 2300,1200 ,<1000 , 2100,1200 ,<1000 , 2200,1100 ,<1000 , 2100,1100 ,<1000 , 2200,1100 ,<1000 , 2000,<1000 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1700
