States,2019,2019_lower, 2019_upper
Arusha CC,<500 ,<500 , <1000
Arusha DC,<200 ,<100 , <500
Babati DC,<200 ,<100 , <1000
Babati TC,<200 ,<100 , <500
Bagamoyo DC,<1000 ,<1000 , 1500
Bahi DC,<100 ,<100 , <500
Bariadi DC,<100 ,<100 , <500
Bariadi TC,<100 ,<100 , <1000
Biharamulo DC,<200 ,<100 , <1000
Buchosa DC,<500 ,<100 , <1000
Buhigwe DC,<500 ,<100 , 1000
Bukoba DC,<200 ,<100 , <1000
Bukoba MC,<500 ,<100 , 1300
Bukombe DC,<500 ,<100 , 1100
Bumbuli DC,<200 ,<100 , <500
Bunda DC,<500 ,<100 , <1000
Bunda TC,<100 ,<100 , <200
Busega DC,<500 ,<200 , <1000
Busokelo DC,<100 ,<100 , <100
Butiama DC,<500 ,<100 , <1000
Chake Chake,1100 ,<1000 , 1600
Chalinze DC,<200 ,<100 , <500
Chamwino DC,<500 ,<100 , <1000
Chato DC,<100 ,<100 , <100
Chemba DC,<500 ,<200 , <500
Chunya DC,<100 ,<100 , <500
Dodoma MC,<500 ,<100 , 1700
Gairo DC,<100 ,<100 , <500
Geita DC,<500 ,<100 , <1000
Geita TC,<500 ,<100 , <1000
Hai DC,<200 ,<100 , <1000
Hanang DC,<500 ,<200 , <1000
Handeni DC,<500 ,<100 , <1000
Handeni TC,<500 ,<100 , <1000
Ifakara TC,<100 ,<100 , <500
Igunga DC,<100 ,<100 , <500
Ikungi DC,<1000 ,<200 , 1200
Ilala MC,1100 ,<100 , 4900
Ileje DC,<200 ,<100 , <1000
Ilemela MC,<200 ,<100 , <1000
Iramba DC,<200 ,<100 , <500
Iringa DC,<1000 ,<200 , 2000
Iringa MC,<100 ,<100 , <200
Itigi DC,1300 ,<1000 , 2600
Itilima DC,<500 ,<500 , <1000
Kahama TC,<200 ,<100 , <500
Kakonko DC,<100 ,<100 , <200
Kalambo DC,<100 ,<100 , <500
Kaliua DC,<500 ,<100 , <1000
Karagwe DC,<200 ,<100 , <1000
Karatu DC,<100 ,<100 , <500
Kaskazini A,<100 ,<100 , <200
Kaskazini B,<100 ,<100 , <100
Kasulu DC,<100 ,<100 , <100
Kasulu TC,<200 ,<100 , <1000
Kati,<100 ,<100 , <200
Kibaha DC,<200 ,<100 , <200
Kibaha TC,<100 ,<100 , <200
Kibiti DC,<100 ,<100 , <100
Kibondo DC,<100 ,<100 , <500
Kigamboni MC,<100 ,<100 , <100
Kigoma DC,<100 ,<100 , <200
Kigoma Ujiji MC,<200 ,<100 , <500
Kilindi DC,<500 ,<100 , <1000
Kilolo DC,<100 ,<100 , <100
Kilombero DC,1300 ,<1000 , 2600
Kilosa DC,<100 ,<100 , <200
Kilwa DC,<500 ,<100 , <1000
Kinondoni MC,<1000 ,<500 , <1000
Kisarawe DC,<1000 ,<500 , 1100
Kishapu DC,<200 ,<100 , <1000
Kiteto DC,<100 ,<100 , <500
Kondoa DC,<200 ,<100 , <1000
Kondoa TC,<500 ,<500 , <1000
Kongwa DC,<500 ,<200 , <1000
Korogwe DC,<200 ,<100 , <200
Korogwe TC,<500 ,<100 , <1000
Kusini,<100 ,<100 , <100
Kwimba DC,6900 ,3300 , 13 000
Kyela DC,<500 ,<200 , <1000
Kyerwa DC,<1000 ,<500 , 1500
Lindi DC,<500 ,<100 , <1000
Lindi MC,<100 ,<100 , <500
Liwale DC,<500 ,<100 , <1000
Longido DC,<500 ,<200 , <500
Ludewa DC,<500 ,<100 , 1200
Lushoto DC,<500 ,<100 , 1300
Madaba DC,<100 ,<100 , <200
Mafia DC,<100 ,<100 , <100
Mafinga TC,<200 ,<100 , <500
Magharibi A,<100 ,<100 , <100
Magharibi B,<200 ,<100 , <500
Magu DC,<500 ,<100 , 1400
Makambako TC,1100 ,<1000 , 1400
Makete DC,<100 ,<100 , <200
Malinyi DC,<500 ,<500 , <1000
Manyoni DC,<500 ,<100 , 1800
Masasi DC,<100 ,<100 , <200
Masasi TC,<500 ,<100 , 1100
Maswa DC,<500 ,<100 , 1600
Mbarali DC,<500 ,<100 , 1800
Mbeya CC,1000 ,<500 , 2000
Mbeya DC,<500 ,<100 , <1000
Mbinga DC,<500 ,<200 , <1000
Mbinga TC,<200 ,<100 , <1000
Mbogwe DC,<1000 ,<1000 , 1100
Mbozi DC,<200 ,<100 , <500
Mbulu DC,<100 ,<100 , <500
Mbulu TC,<200 ,<100 , <500
Meatu DC,<200 ,<100 , <1000
Meru DC,<500 ,<100 , 1000
Micheweni,<500 ,<200 , <500
Missenyi DC,<100 ,<100 , <500
Misungwi DC,<100 ,<100 , <500
Mjini,<500 ,<200 , <1000
Mkalama DC,<100 ,<100 , <500
Mkinga DC,<200 ,<100 , <500
Mkoani,<100 ,<100 , <500
Mkuranga DC,<100 ,<100 , <200
Mlele DC,<200 ,<100 , <500
Momba DC,<1000 ,<500 , <1000
Monduli DC,<100 ,<100 , <500
Morogoro DC,<500 ,<100 , 1300
Morogoro MC,<500 ,<100 , 1100
Moshi DC,<500 ,<200 , <1000
Moshi MC,<100 ,<100 , <500
Mpanda DC,<100 ,<100 , <100
Mpanda TC,<200 ,<200 , <200
Mpimbwe DC,<100 ,<100 , <200
Mpwapwa DC,<500 ,<100 , 1300
Msalala DC,<500 ,<100 , <1000
Mtwara DC,<100 ,<100 , <100
Mtwara Mikindani MC,<1000 ,<500 , 1600
Mufindi DC,<500 ,<500 , <1000
Muheza DC,<100 ,<100 , <100
Muleba DC,<200 ,<100 , <1000
Musoma DC,<100 ,<100 , <100
Musoma MC,<500 ,<200 , <1000
Mvomero DC,<500 ,<100 , 1200
Mwanga DC,<100 ,<100 , <100
Nachingwea DC,<200 ,<100 , <1000
Namtumbo DC,<100 ,<100 , <100
Nanyamba TC,<500 ,<500 , <1000
Nanyumbu DC,<200 ,<100 , <1000
Newala DC,<100 ,<100 , <500
Newala TC,<200 ,<100 , <1000
Ngara DC,<100 ,<100 , <500
Ngorongoro DC,<1000 ,<500 , 1600
Njombe DC,<200 ,<100 , <1000
Njombe TC,<100 ,<100 , <500
Nkasi DC,<1000 ,<500 , 1500
Nsimbo DC,<100 ,<100 , <100
Nyamagana MC,<100 ,<100 , <500
Nyang'hwale DC,<100 ,<100 , <200
Nyasa DC,<500 ,<200 , <1000
Nzega DC,<500 ,<200 , <1000
Nzega TC,<500 ,<100 , <1000
Pangani DC,<100 ,<100 , <100
Rombo DC,<100 ,<100 , <100
Rorya DC,<200 ,<100 , <1000
Ruangwa DC,<500 ,<200 , <1000
Rufiji DC,<500 ,<100 , 1300
Rungwe DC,1500 ,<500 , 3700
Same DC,<500 ,<100 , <1000
Sengerema DC,<100 ,<100 , <500
Serengeti DC,<100 ,<100 , <500
Shinyanga DC,<100 ,<100 , <100
Shinyanga MC,<500 ,<100 , <1000
Siha DC,<500 ,<100 , 1000
Sikonge DC,<200 ,<100 , <1000
Simanjiro DC,<100 ,<100 , <200
Singida DC,<500 ,<200 , <1000
Singida MC,<500 ,<200 , 1100
Songea DC,<200 ,<100 , <500
Songea MC,<1000 ,<500 , 1100
Songwe DC,<200 ,<100 , <1000
Sumbawanga DC,<500 ,<200 , <500
Sumbawanga MC,<500 ,<100 , <1000
Tabora MC,<500 ,<100 , <1000
Tandahimba DC,<200 ,<100 , 1000
Tanga CC,<1000 ,<500 , 1300
Tarime DC,<100 ,<100 , <200
Tarime TC,<100 ,<100 , <100
Temeke MC,<500 ,<100 , 2000
Tunduma TC,<100 ,<100 , <500
Tunduru DC,<500 ,<100 , <1000
Ubungo MC,<500 ,<100 , <1000
Ukerewe DC,<200 ,<100 , <1000
Ulanga DC,<500 ,<100 , <1000
Urambo DC,<100 ,<100 , <500
Ushetu DC,<1000 ,<500 , 1400
Uvinza DC,<200 ,<100 , <1000
Uyui DC,<100 ,<100 , <500
Wanging'ombe DC,<500 ,<500 , <1000
Wete,<100 ,<100 , <200
National,63 000 ,55 000,70 000
